TICKER,p,d,q,AIC,MAE,RMSE
TSLA,2,0,1,1159.6678067604348,0.24240905225885895,0.3102801592065053
BND,1,1,2,1036.8281298640586,0.28150415625420944,0.39340767740821103
SPY,3,1,3,579.7198286941203,0.290511767773196,0.37050345816882446
