Date,Actual,Forecast,Ticker
2025-06-19,18.15417290673199,18.119259,SPY
2025-06-20,18.35935199929962,18.11438,SPY
2025-06-23,18.286303279224047,18.17287,SPY
2025-06-24,18.03111802001204,18.185997,SPY
2025-06-25,17.94449484379055,18.114674,SPY
2025-06-26,18.179225553266853,18.048042,SPY
2025-06-27,18.272858000437864,18.08055,SPY
2025-06-30,18.342746229144456,18.126034,SPY
2025-07-01,18.06443570759013,18.174807,SPY
2025-07-02,18.01286888437573,18.118292,SPY
2025-07-03,17.748625555179267,18.071405,SPY
2025-07-04,17.748625555179267,17.964285,SPY
2025-07-07,18.13052227442555,17.902264,SPY
2025-07-08,17.89346486412339,17.973877,SPY
2025-07-09,18.006880494869282,17.947685,SPY
2025-07-10,17.867799726453047,17.967966,SPY
2025-07-11,17.96922719318507,17.938095,SPY
2025-07-14,17.76480044598435,17.950811,SPY
2025-07-15,18.12385432242349,17.897512,SPY
2025-07-16,18.304006468394267,17.96852,SPY
2025-07-17,18.04795916727318,18.062065,SPY
2025-07-18,17.999415468010092,18.045654,SPY
2025-07-21,17.964580019875623,18.023651,SPY
2025-07-22,17.910626489271397,17.999868,SPY
2025-07-23,18.07127928398013,17.969398,SPY
2025-07-24,18.08250645966948,17.999378,SPY
2025-07-25,17.856197629779757,18.019974,SPY
2025-07-28,17.8213353333912,17.964619,SPY
2025-07-29,17.919084068793715,17.922709,SPY
2025-07-30,18.20275978115035,17.92599,SPY
