Date,Forecast,Lower_CI,Upper_CI,Ticker
2630,15.60772623683497,15.00497253298648,16.21047994068346,BND
2631,15.598165348544534,14.96095137310099,16.235379323988077,BND
2632,15.611194995134499,14.955329894541105,16.267060095727892,BND
2633,15.609434251023279,14.947409016176323,16.271459485870235,BND
2634,15.611624364939697,14.944490239929719,16.278758489949674,BND
2635,15.61130284653972,14.940330849733972,16.28227484334547,BND
2636,15.611671310834048,14.93700333922042,16.286339282447674,BND
2637,15.61161301227649,14.933451108428178,16.289774916124802,BND
2638,15.611675057704959,14.930053886875035,16.29329622853488,BND
2639,15.611664549253328,14.926630799864656,16.296698298642,BND
2640,15.611675006092144,14.923247958197555,16.300102053986734,BND
2641,15.611673121437796,14.919874187035191,16.303472055840402,BND
2642,15.61167488527076,14.916520746599438,16.306829023942083,BND
2643,15.611674548725281,14.913182103078869,16.31016699437169,BND
2644,15.611674846488283,14.909860016608533,16.313489676368032,BND
2645,15.611674786616163,14.906553354764139,16.316796218468188,BND
2646,15.611674836923322,14.903262242424463,16.32008743142218,BND
2647,15.611674826306851,14.899986309820369,16.323363342793332,BND
2648,15.611674834812822,14.89672540720101,16.326624262424634,BND
2649,15.611674832935746,14.893479303417736,16.329870362453757,BND
2650,15.611674834375016,14.890247808882856,16.333101859867178,BND
2651,15.61167483404398,14.887030723617084,16.336318944470875,BND
2652,15.61167483428769,14.883827858310775,16.339521810264607,BND
2653,15.611674834229442,14.880639025281653,16.34271064317723,BND
2654,15.611674834270739,14.877464041997595,16.345885626543883,BND
2655,15.61167483426051,14.874302729422023,16.349046939098997,BND
2656,15.611674834267513,14.871154912524672,16.352194756010352,BND
2657,15.61167483426572,14.868020419904923,16.355329248626518,BND
2658,15.611674834266909,14.864899083791096,16.358450584742723,BND
2659,15.611674834266594,14.861790739890342,16.361558928642847,BND
